# 测试参数配置
# 位置1: -5000 μm
# 位置2: 0 μm
# 位置3: 5000 μm
# 循环次数: 10000
# 停留时间: 3 s
# 速度: 2 mm/s
# 误差窗: 500 nm
# 采样率: 1000 Hz
# 测试开始时间: 2025-06-12 13:48:52
#
时间戳	当前位置(μm)	目标位置(μm)	当前速度(mm/s)	位置误差(nm)	到位信号	完成循环数	超出误差窗次数	测试阶段	异常信息
49:07.6	100113	-5000	6553	105113000	N	0	0	初始化	
49:07.7	107305	-5000	6553	112305000	N	0	0	初始化	
49:07.9	115715	-5000	6553	120715000	N	0	0	初始化	
49:08.0	124272	-5000	6553	129272000	N	0	0	初始化	
49:08.2	132358	-5000	6553	137358000	N	0	0	初始化	
49:08.3	139651	-5000	6553	144651000	N	0	0	初始化	
49:08.5	147081	-5000	6553	152081000	N	0	0	初始化	
49:08.6	155503	-5000	6553	160503000	N	0	0	初始化	
49:08.8	163435	-5000	6553	168435000	N	0	0	初始化	
49:08.9	171504	-5000	6553	176504000	N	0	0	初始化	
49:09.0	179091	-5000	6553	184091000	N	0	0	初始化	
49:09.2	186504	-5000	6553	191504000	N	0	0	初始化	
49:09.3	195082	-5000	6553	200082000	N	0	0	初始化	
49:09.5	203079	-5000	6553	208079000	N	0	0	初始化	
49:09.6	210766	-5000	6553	215766000	N	0	0	初始化	
49:09.8	217948	-5000	6553	222948000	N	0	0	初始化	
49:09.9	225872	-5000	6553	230872000	N	0	0	初始化	
49:10.1	234083	-5000	6553	239083000	N	0	0	初始化	
49:10.2	241308	-5000	6553	246308000	N	0	0	初始化	
49:10.4	248411	-5000	6553	253411000	N	0	0	初始化	
49:10.5	256294	-5000	6553	261294000	N	0	0	初始化	
49:10.7	264197	-5000	6553	269197000	N	0	0	初始化	
49:10.8	271996	-5000	6553	276996000	N	0	0	初始化	
49:11.0	279444	-5000	6553	284444000	N	0	0	初始化	
49:11.1	286355	-5000	6553	291355000	N	0	0	初始化	
49:11.3	294312	-5000	6553	299312000	N	0	0	初始化	
49:11.4	301570	-5000	6553	306570000	N	0	0	初始化	
49:11.6	309144	-5000	6553	314144000	N	0	0	初始化	
49:11.7	316197	-5000	6553	321197000	N	0	0	初始化	
49:11.9	322981	-5000	6553	327981000	N	0	0	初始化	
49:12.1	330183	-5000	6553	335183000	N	0	0	初始化	
49:12.2	337343	-5000	6553	342343000	N	0	0	初始化	
49:12.3	343887	-5000	6553	348887000	N	0	0	初始化	
49:12.5	350947	-5000	6553	355947000	N	0	0	初始化	
49:12.6	357666	-5000	6553	362666000	N	0	0	初始化	
49:12.8	359067	-5000	6553	364067000	N	0	0	初始化	
49:12.9	359282	-5000	6553	364282000	N	0	0	初始化	
49:13.1	359231	-5000	6553	364231000	N	0	0	初始化	
49:13.3	359223	-5000	6553	364223000	N	0	0	初始化	
49:13.4	359219	-5000	6553	364219000	N	0	0	初始化	
49:13.6	359216	-5000	6553	364216000	N	0	0	初始化	
49:13.7	359213	-5000	6553	364213000	N	0	0	初始化	
